size,elapsed_time
10,1.82e-06
20,2.66e-06
30,4.43e-06
40,4.68e-06
50,5.66e-06
60,6.7e-06
70,9.65e-06
80,1.265e-05
90,2.075e-05
100,1.883e-05
110,1.874e-05
120,2.088e-05
130,1.91e-05
140,1.582e-05
150,1.502e-05
160,1.115e-05
170,1.089e-05
180,1.227e-05
190,1.307e-05
200,1.388e-05
210,1.531e-05
220,1.667e-05
230,2.019e-05
240,2.219e-05
250,2.13e-05
260,2.401e-05
270,2.386e-05
280,3.999e-05
290,3.11e-05
300,3.064e-05
310,3.122e-05
320,4.63e-05
330,6.467e-05
340,6.816e-05
350,7.019e-05
360,6.021e-05
370,6.185e-05
380,4.964e-05
390,4.887e-05
400,6.353e-05
410,5.487e-05
420,6.209e-05
430,7.941e-05
440,7.68e-05
450,7.394e-05
460,7.122e-05
470,7.592e-05
480,8.118e-05
490,8.04e-05
500,8.473e-05
